X,Y,OBJECTID,Fuel_Type_Code,Station_Name,Street_Address,Intersection_Directions,City,State,ZIP,Station_Phone,Expected_Date,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Network,EV_Network_Web,Latitude,Longitude,Date_Last_Confirmed,ID,Updated_At,Federal_Agency_Name,Open_Date,EV_Connector_Types,Access_Code,Access_Detail_Code,Facility_Type,EV_Pricing,EV_On_Site_Renewable_Source
-77.045781,38.91074,37,ELEC,Embassy Row Hotel - Tesla Destination,2015 Massachusetts Ave NW,,Washington,DC,20036,202-265-1600  877-798-3752,,Public,"24 hours daily; for customer use only; see valet for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.91074,-77.045781,2020/11/03 00:00:00+00,113659,2021/03/11 23:22:17,,2015/11/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.023228,38.9184550000001,38,ELEC,Atlantic Plumbing Building Parking - Tesla Destination,2112 8th St NW,,Washington,DC,20001,202-760-4510  877-798-3752,,Public,"24 hours daily; for customer use only",,,1,,Tesla Destination,https://www.tesla.com/destination-charging,38.918455,-77.023228,2020/11/03 00:00:00+00,113660,2021/03/11 23:22:17,,2017/03/01 00:00:00+00,TESLA,public,,PARKING_GARAGE,Free,
-77.0475289999999,38.8963190000001,39,ELEC,State Plaza Hotel - Tesla Destination,2117 E St NW,,Washington,DC,20037,202-861-8200  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.896319,-77.047529,2020/11/03 00:00:00+00,113661,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.047423,38.9098470000001,40,ELEC,Kimpton Hotel Palomar Washington DC - Tesla Destination,2121  P St NW,,Washington,DC,20037,202-448-1800  877-798-3752,,Public,"24 hours daily; for customer use only; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.909847,-77.047423,2020/11/03 00:00:00+00,113662,2021/03/11 23:22:17,,2016/03/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0536049999999,38.903426,41,ELEC,Avenue Suites Georgetown - Tesla Destination,2500 Pennsylvania Ave NW,,Washington,DC,20037,202-333-8060  877-798-3752,,Public,"24 hours daily; for customer use only",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.903426,-77.053605,2020/11/03 00:00:00+00,113664,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,TESLA,public,,HOTEL,Free,
-77.072799,38.9232470000001,42,ELEC,Kimpton Glover Park Hotel - Tesla Destination,2505 Wisconsin Ave NW,,Washington,DC,20007,202-337-9700  877-798-3752,,Public,"24 hours daily; for customer use only; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.923247,-77.072799,2020/11/03 00:00:00+00,113665,2021/03/11 23:22:17,,2016/07/15 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0553639999999,38.899774,43,ELEC,The Watergate Hotel - Tesla Destination,2650 Virginia Ave NW,,Washington,DC,20037,202-827-1600  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.899774,-77.055364,2020/11/03 00:00:00+00,113666,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,TESLA,public,,HOTEL,Free,
-77.057562,38.9046070000001,44,ELEC,Four Seasons Washington D.C. - Tesla Destination,2800 Pennsylvania Ave NW,,Washington,DC,20007,202-342-0444  877-798-3752,,Public,"24 hours daily; for customer use only; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.904607,-77.057562,2020/11/03 00:00:00+00,113667,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,TESLA,public,,HOTEL,Free,
-77.0118229999999,38.8954160000001,45,ELEC,Hyatt Regency Washington on Capitol Hill - Tesla Destination,400 New Jersey Ave NW,,Washington,DC,20001,202-737-1234  877-798-3752,,Public,"24 hours daily; pay lot; see valet for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.895416,-77.011823,2020/11/03 00:00:00+00,113668,2021/03/11 23:22:17,,2015/10/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.010884,38.8954890000001,46,ELEC,The Liaison Capitol Hill - Tesla Destination,415 New Jersey Ave NW,,Washington,DC,20001,202-638-1616  877-798-3752,,Public,"24 hours daily; pay lot",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.895489,-77.010884,2020/11/03 00:00:00+00,113669,2021/03/11 23:22:17,,2018/11/01 00:00:00+00,TESLA,public,,HOTEL,Free,
-77.031736,38.9006000000001,47,ELEC,Hilton Garden Inn Washington DC Downtown - Tesla Destination,815 14th St NW,,Washington,DC,20005,202-783-7800  877-798-3752,,Public,"24 hours daily; see valet for access",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.9006,-77.031736,2020/11/03 00:00:00+00,113671,2021/03/11 23:22:17,,2016/02/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0262969999999,38.9017260000001,48,ELEC,Embassy Suites by Hilton Convention Center - Tesla Destination,900  10th St NW,,Washington,DC,20001,202-739-2001  877-798-3752,,Public - Call ahead,"24 hours daily; for customer use only",,,3,,Tesla Destination,https://www.tesla.com/destination-charging,38.901726,-77.026297,2020/11/03 00:00:00+00,113672,2021/03/11 23:22:17,,2017/09/01 00:00:00+00,J1772 TESLA,public,CALL,HOTEL,Free,
-77.0197929999999,38.9018580000001,49,ELEC,Hampton Inn Washington-Downtown-Convention Center - Tesla Destination,901 6th St NW,,Washington,DC,20001,202-842-2500  877-798-3752,,Public,"24 hours daily; for customer use only; see front desk for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.901858,-77.019793,2020/11/03 00:00:00+00,113673,2021/03/11 23:22:17,,2015/12/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.0243809999999,38.9033590000001,50,ELEC,Marriott Marquis Washington D.C. - Tesla Destination,901 Massachusetts Ave NW,,Washington,DC,20001,202-824-9200  877-798-3752,,Public,"24 hours daily; for customer use only; see valet for access",,,3,,Tesla Destination,https://www.tesla.com/destination-charging,38.903359,-77.024381,2020/11/03 00:00:00+00,113674,2021/03/11 23:22:17,,2015/12/01 00:00:00+00,J1772 TESLA,public,,HOTEL,Free,
-77.036061,38.902005,51,ELEC,The St. Regis Washington D.C. - Tesla Destination,923  16th St NW,,Washington,DC,20006,202-638-2626  877-798-3752,,Public - Call ahead,"24 hours daily; for customer use only",,,1,,Tesla Destination,https://www.tesla.com/destination-charging,38.902005,-77.036061,2020/11/03 00:00:00+00,113675,2021/03/11 23:22:17,,2015/10/01 00:00:00+00,TESLA,public,CALL,HOTEL,Free,
-77.0342439999999,38.917066,52,ELEC,DBA SONNET DBA SONNET,1441 U St NW,,Washington,DC,20009,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.917066,-77.034244,2022/08/18 00:00:00+00,117189,2022/08/18 00:59:34,,2019/01/19 00:00:00+00,J1772,public,,,,
-77.0299929999999,38.8867680000001,53,ELEC,USDA IND.AVE DC DC SOUTH BLD1,1351 C St NW,,Washington,DC,20024,888-758-4389,,Public,24 hours daily,,,2,,ChargePoint Network,http://www.chargepoint.com/,38.886768,-77.029993,2022/08/18 00:00:00+00,121677,2022/08/18 00:52:22,,2019/04/24 00:00:00+00,J1772,public,,,,
-77.041954264,38.903675106,54,ELEC,1801K,1801 K St NW,,Washington,DC,20006,866-816-7584,,Public,24 hours daily,,,1,,EV Connect,http://evconnect.com/,38.9036751062169,-77.041954264418,2020/04/08 00:00:00+00,123243,2021/03/11 23:22:17,,2019/04/01 00:00:00+00,J1772,public,,OFFICE_BLDG,Free,
-77.0452352999999,38.9041130000001,55,ELEC,2001 L Street - Parking Garage,2001 L St,,Washington,DC,20036,866-816-7584,,Public,24 hours daily,,,1,,EV Connect,http://evconnect.com/,38.904113,-77.0452353,2020/04/08 00:00:00+00,123244,2021/03/11 23:22:17,,2019/04/01 00:00:00+00,J1772,public,,PARKING_GARAGE,,
-77.0258909999999,38.9028950000001,56,ELEC,901 K St NW,901 K St NW,,Washington,DC,20036,202-350-6625,,Public,24 hours daily,,,2,,Non-Networked,,38.902895,-77.025891,2020/10/09 00:00:00+00,137149,2021/03/11 23:22:17,,2019/05/19 00:00:00+00,J1772,public,,PARKING_GARAGE,Free,
-77.0258909999999,38.9028950000001,57,ELEC,901 K Street NW - Tesla Destination,901 K St NW,,Washington,DC,20036,202-350-6625  877-798-3752,,Public,"24 hours daily; pay lot; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.902895,-77.025891,2020/11/03 00:00:00+00,137150,2021/03/11 23:22:17,,2019/05/19 00:00:00+00,TESLA,public,,PARKING_GARAGE,Free,
-77.050059,38.9061360000001,58,ELEC,1255 23rd St NW - Tesla Destination,1255 23rd St NW,,Washington,DC,20037,202-223-1537  877-798-3752,,Public,"24 hours daily; pay lot",,,4,,Tesla Destination,https://www.tesla.com/destination-charging,38.906136,-77.050059,2020/11/03 00:00:00+00,137167,2021/03/11 23:22:17,,2019/05/19 00:00:00+00,J1772 TESLA,public,,PARKING_GARAGE,Free,
-77.037233,38.903754,59,ELEC,The Hub - Tesla Destination,1615 L St NW,,Washington,DC,20036,202-349-4068  877-798-3752,,Public,"24 hours daily; pay lot; see valet for access",,,2,,Tesla Destination,https://www.tesla.com/destination-charging,38.903754,-77.037233,2020/11/03 00:00:00+00,137168,2021/03/11 23:22:17,,2019/05/19 00:00:00+00,J1772 TESLA,public,,PARKING_GARAGE,Free,
-76.958812,38.8963120000001,60,ELEC,Transco,3399 Benning Rd NE,,Washington,DC,20019,202-450-0190,,Public,24 hours daily,,,,2,Non-Networked,,38.896312,-76.958812,2020/02/06 00:00:00+00,144129,2021/03/11 23:22:17,,2020/01/31 00:00:00+00,CHADEMO J1772COMBO,public,,GAS_STATION,Free,
-77.0828442,38.9348171,61,ELEC,Foxhall East Inc.,"4200 Massachusetts Ave, NW",These stations are available for the use of Foxhall Owners and their guests. No public charging available.,Washington,DC,20016,800-663-5633,,Public,"MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am",,,2,,SemaCharge Network,https://semaconnect.com/,38.9348171,-77.0828442,2022/08/18 00:00:00+00,148362,2022/08/18 00:33:12,,2018/03/07 00:00:00+00,J1772,public,,,$1.00-$2.00/Hr Variable Parking Fee,
-77.0706446,38.9192265,62,ELEC,Lenkin Co  2201,2201 Wisconsin Ave NW,null,Washington,DC,20007,800-663-5633,,Public,"MO: 07:00am-07:00pm; TU: 07:00am-07:00pm; WE: 07:00am-07:00pm; TH: 07:00am-07:00pm; FR: 07:00am-07:00pm; SA: Closed; SU: Closed",,,2,,SemaCharge Network,https://semaconnect.com/,38.9192265,-77.0706446,2022/08/18 00:00:00+00,148372,2022/08/18 00:33:12,,2012/01/15 00:00:00+00,J1772,public,,,$1.00/Hr Parking Fee,
-77.0323174,38.9163243,63,ELEC,The Louis,1920 14th Street NW,,Washington,DC,20009,800-663-5633,,Public,"MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am",,,1,,SemaCharge Network,https://semaconnect.com/,38.9163243,-77.0323174,2022/08/18 00:00:00+00,148379,2022/08/18 00:33:12,,2019/07/04 00:00:00+00,J1772,public,,,FREE,
-77.066729,38.90518,64,ELEC,Jamestown - Eastbanc 3307,3307 M Street NW,The parking garage is located on Bank Alley. You must pay to enter the garage.,Washington,DC,20007,800-663-5633,,Public,"MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am",,,1,,SemaCharge Network,https://semaconnect.com/,38.90518,-77.066729,2022/08/18 00:00:00+00,148380,2022/08/18 00:33:12,,2012/01/15 00:00:00+00,J1772,public,,,FREE,
-76.993693,38.9215664000001,65,ELEC,Rhode Island Row,"2350 Washington Place, NE.",Residents have 24/7 access.,Washington,DC,20018,800-663-5633,,Public,"MO: 07:00am-11:00pm; TU: 07:00am-11:00pm; WE: 07:00am-11:00pm; TH: 07:00am-11:00pm; FR: 07:00am-11:00pm; SA: 07:00am-11:00pm; SU: Closed",,,3,,SemaCharge Network,https://semaconnect.com/,38.9215664,-76.993693,2022/08/18 00:00:00+00,148383,2022/08/18 00:33:12,,2019/07/04 00:00:00+00,J1772,public,,,FREE,
-77.0380059,38.9081864,66,ELEC,531707: Lenkin Co 1625,1625 Massachusetts Avenue Northwest,Additional garage fees will apply.,Washington,DC,20036,800-663-5633,,Public,"MO: 07:00am-07:00pm; TU: 07:00am-07:00pm; WE: 07:00am-07:00pm; TH: 07:00am-07:00pm; FR: 07:00am-07:00pm; SA: Closed; SU: Closed",,,6,,SemaCharge Network,https://semaconnect.com/,38.9081864,-77.0380059,2022/08/18 00:00:00+00,148384,2022/08/18 00:33:12,,2018/11/17 00:00:00+00,J1772,public,,,$1.00/Hr Parking Fee,
